x,y,z,time,energy
158.940, -345.230, -266.100, 824.990, 5.061
158.940, -345.230, -283.120, 865.535, 6.059
158.940, -345.230, -300.140, 717.721, 13.910
158.940, -345.230, -317.160, 880.306, 9.116
158.940, -345.230, -334.180, 876.221, 12.941
158.940, -345.230, -351.200, 941.627, 6.622
158.940, -345.230, -368.220, 974.990, 7.545
158.940, -345.230, -385.240, 822.270, 8.741
158.940, -345.230, -402.270, 1324.797, 2.977
158.940, -345.230, -419.290, 1347.929, 5.364
158.940, -345.230, -436.310, 2300.688, 0.535
158.940, -345.230, -470.350, 2962.501, 0.385
158.940, -345.230, -487.370, 3157.647, 0.368
158.940, -345.230, -504.390, 1912.840, 0.283
282.180, -325.740, -148.340, 917.388, 1.950
282.180, -325.740, -165.360, 1431.957, 0.987
282.180, -325.740, -182.390, 1025.183, 2.026
282.180, -325.740, -199.410, 1698.227, 1.380
282.180, -325.740, -216.430, 831.939, 3.103
282.180, -325.740, -233.450, 856.387, 6.151
282.180, -325.740, -250.470, 854.988, 6.268
282.180, -325.740, -267.490, 786.182, 6.483
282.180, -325.740, -284.510, 723.769, 10.536
282.180, -325.740, -301.530, 622.866, 9.170
282.180, -325.740, -318.550, 696.200, 9.758
282.180, -325.740, -335.570, 832.398, 10.988
282.180, -325.740, -352.590, 628.645, 14.348
282.180, -325.740, -369.610, 728.828, 6.930
282.180, -325.740, -386.630, 816.813, 5.880
282.180, -325.740, -403.660, 970.774, 2.301
282.180, -325.740, -420.680, 997.873, 6.739
282.180, -325.740, -437.700, 1038.902, 2.343
282.180, -325.740, -454.720, 2601.473, 1.215
282.180, -325.740, -471.740, 1896.167, 2.300
282.180, -325.740, -488.760, 1848.468, 1.070
405.830, -306.380, -202.720, 1694.689, 2.240
405.830, -306.380, -219.740, 1442.853, 0.920
405.830, -306.380, -253.780, 950.313, 0.267
405.830, -306.380, -270.800, 1288.607, 2.798
405.830, -306.380, -304.840, 871.334, 5.794
405.830, -306.380, -321.860, 790.980, 2.961
405.830, -306.380, -338.880, 2096.584, 1.168
405.830, -306.380, -355.900, 1920.839, 1.917
405.830, -306.380, -372.920, 937.315, 1.296
405.830, -306.380, -389.940, 915.041, 1.137
405.830, -306.380, -406.970, 2248.334, 1.108
405.830, -306.380, -423.990, 1238.281, 2.133
-413.460, -327.270, -147.190, 3558.069, 1.171
-413.460, -327.270, -181.240, 3937.612, 1.078
-413.460, -327.270, -300.380, 3647.696, 0.966
-290.660, -307.380, -125.620, 3881.914, 1.918
-290.660, -307.380, -142.640, 4154.750, 0.398
-290.660, -307.380, -159.660, 2542.924, 1.626
